date	shift	material_type	number	weight_kg	original_date
6/16/2025	night	solid	1	980	16/6/2025
6/16/2025	night	solid	2	1000	16/6/2025
6/16/2025	night	solid	3	990	16/6/2025
6/17/2025	day	solid	4	950	17/6/2025
6/17/2025	day	solid	5	960	17/6/2025
6/17/2025	night	solid	6	940	17/6/2025
6/17/2025	night	solid	7	950	17/6/2025
6/18/2025	day	solid	8	980	18/6/2025
6/18/2025	day	solid	9	1010	18/6/2025
6/18/2025	night	solid	10	900	18/6/2025
6/19/2025	day	solid	11	880	19/6/2025
6/19/2025	night	solid	12	1000	19/6/2025
6/20/2025	day	solid	13	1020	20/6/2025
6/20/2025	day	solid	14	1010	20/6/2025
6/20/2025	day	solid	15	970	20/6/2025
6/20/2025	night	solid	16	980	20/6/2025
6/20/2025	night	solid	17	950	20/6/2025
6/20/2025	night	solid	18	1020	20/6/2025
6/21/2025	day	solid	19	990	21/6/2025
6/21/2025	day	solid	20	950	21/6/2025
6/21/2025	day	solid	21	1000	21/6/2025
6/21/2025	night	solid	22	1020	21/6/2025
6/21/2025	night	solid	23	1020	21/6/2025
6/21/2025	night	solid	24	940	21/6/2025
6/21/2025	night	solid	25	930	21/6/2025
6/22/2025	day	solid	26	990	22/6/2025
6/22/2025	day	solid	27	1010	22/6/2025
6/22/2025	day	solid	28	1010	22/6/2025
6/22/2025	night	solid	29	910	22/6/2025
6/22/2025	night	solid	30	940	22/6/2025
6/22/2025	night	solid	31	940	22/6/2025
6/22/2025	night	solid	32	930	22/6/2025
6/23/2025	day	solid	33	1040	23/6/2025
6/23/2025	day	solid	34	990	23/6/2025
6/23/2025	day	solid	35	1040	23/6/2025
6/23/2025	day	solid	36	910	23/6/2025
6/23/2025	night	solid	37	1010	23/6/2025
6/23/2025	night	solid	38	960	23/6/2025
6/23/2025	night	solid	39	960	23/6/2025
6/23/2025	night	solid	40	940	23/6/2025
6/24/2025	day	solid	41	950	24/6/2025
6/24/2025	day	solid	42	990	24/6/2025
6/24/2025	day	solid	43	990	24/6/2025
6/24/2025	night	solid	44	940	24/6/2025
6/24/2025	night	solid	45	860	24/6/2025
6/24/2025	night	solid	46	1000	24/6/2025
6/24/2025	night	solid	47	990	24/6/2025
6/24/2025	night	solid	48	1010	24/6/2025
6/25/2025	day	solid	49	1040	25/6/2025
6/25/2025	day	solid	50	1040	25/6/2025
6/25/2025	day	solid	51	1000	25/6/2025
6/25/2025	day	solid	52	1010	25/6/2025
6/25/2025	night	solid	53	1080	25/6/2025
6/25/2025	night	solid	54	980	25/6/2025
6/25/2025	night	solid	55	970	25/6/2025
6/25/2025	night	solid	56	1000	25/6/2025
6/26/2025	day	solid	57	1000	26/6/2025
6/26/2025	day	solid	58	1060	26/6/2025
6/26/2025	day	solid	59	1040	26/6/2025
6/26/2025	day	solid	60	1000	26/6/2025
6/26/2025	night	solid	61	960	26/6/2025
6/26/2025	night	solid	62	940	26/6/2025
6/26/2025	night	solid	63	990	26/6/2025
6/26/2025	night	solid	64	990	26/6/2025
6/26/2025	night	solid	65	1020	26/6/2025
6/27/2025	day	solid	66	990	27/6/2025
6/27/2025	day	solid	67	1020	27/6/2025
6/27/2025	day	solid	68	1000	27/6/2025
6/27/2025	day	solid	69	990	27/6/2025
6/27/2025	day	solid	70	1010	27/6/2025
6/27/2025	night	solid	71	1010	27/6/2025
6/27/2025	night	solid	72	980	27/6/2025
6/27/2025	night	solid	73	960	27/6/2025
6/27/2025	night	solid	74	980	27/6/2025
6/28/2025	day	solid	75	1040	28/6/2025
6/28/2025	day	solid	76	1040	28/6/2025
6/28/2025	day	solid	77	1070	28/6/2025
6/28/2025	day	solid	78	1010	28/6/2025
6/28/2025	night	solid	79	970	28/6/2025
6/28/2025	night	solid	80	980	28/6/2025
6/28/2025	night	solid	81	990	28/6/2025
6/28/2025	night	solid	82	970	28/6/2025
6/28/2025	night	solid	83	1010	28/6/2025
6/29/2025	day	solid	84	1060	29/6/2025
